,document,EHRI-ET-ZIH3010965_EN.xml,EHRI-ET-ZIH3010884_EN.xml,EHRI-ET-ZIH3011129_EN.xml,EHRI-ET-ZIH3010081_EN.xml,EHRI-ET-ZIH3011713_EN.xml,EHRI-ET-ZIH3011538_EN.xml,EHRI-ET-ZIH3010945_EN.xml,EHRI-ET-ZIH3010191_EN.xml,EHRI-ET-ZIH3010481_EN.xml,EHRI-ET-ZIH3010805_EN.xml,EHRI-ET-ZIH3010905_EN.xml,EHRI-ET-ZIH3010014_EN.xml,EHRI-ET-ZIH3010106_EN.xml,EHRI-ET-ZIH3010002_EN.xml,EHRI-ET-ZIH3011116_EN.xml,EHRI-ET-ZIH3010201_EN.xml,EHRI-ET-ZIH3011649_EN.xml,EHRI-ET-ZIH3010203_EN.xml,EHRI-ET-ZIH3011169_EN.xml,EHRI-ET-ZIH3010012_EN.xml,EHRI-ET-DEGOB1178_EN.xml,EHRI-ET-DEGOB0594_EN.xml,EHRI-ET-DEGOB1459_EN.xml,EHRI-ET-DEGOB0005_EN.xml,EHRI-ET-DEGOB1359_EN.xml,EHRI-ET-DEGOB0701_EN.xml,EHRI-ET-DEGOB0099_EN.xml,EHRI-ET-DEGOB1640_EN.xml,EHRI-ET-DEGOB0884_EN.xml,EHRI-ET-DEGOB0748_EN.xml,EHRI-ET-DEGOB2719_EN.xml,EHRI-ET-DEGOB0090_EN.xml,EHRI-ET-DEGOB0651_EN.xml,EHRI-ET-DEGOB0086_EN.xml,EHRI-ET-DEGOB2830_EN.xml,EHRI-ET-JMP011_EN.xml,EHRI-ET-JMP003_EN.xml,EHRI-ET-JMP001_EN.xml,EHRI-ET-JMP013_EN.xml,EHRI-ET-JMP017_EN.xml,EHRI-ET-JMP009_EN.xml,EHRI-ET-JMP005_EN.xml,EHRI-ET-JMP019_EN.xml,EHRI-ET-JMP007_EN.xml,EHRI-ET-JMP015_EN.xml,EHRI-ET-JMP010_EN.xml,EHRI-ET-JMP002_EN.xml,EHRI-ET-JMP012_EN.xml,EHRI-ET-JMP008_EN.xml,EHRI-ET-JMP016_EN.xml,EHRI-ET-JMP004_EN.xml,EHRI-ET-JMP020_EN.xml,EHRI-ET-JMP006_EN.xml,EHRI-ET-JMP018_EN.xml,EHRI-ET-JMP014_EN.xml
0,EHRI-ET-JMP011_EN.xml,1.0,0.28741,0.42929,0.56263,0.28527,0.44256,0.41917,0.35429,0.30904,0.33039,0.29234,0.58106,0.53126,0.34902,0.30309,0.23995,0.30642,0.35195,0.45704,0.34692,0.34365,0.33973,0.46062,0.4454,0.47317,0.35242,0.33567,0.3752,0.40742,0.36045,0.38028,0.43261,0.39432,0.43325,0.44622,0.37749,0.21053,0.44314,0.46878,0.37446,0.32099,0.32175,0.48913,0.19193,0.33901,0.39226,0.47302,0.41346,0.34363,0.51879,0.26915,0.19951,0.34531,0.50057,0.32902
1,EHRI-ET-JMP003_EN.xml,0.28741,1.0,0.48895,0.35474,0.36901,0.29359,0.41677,0.46408,0.34635,0.44852,0.38898,0.38383,0.3466,0.41848,0.49938,0.20144,0.40202,0.35556,0.41066,0.42495,0.36071,0.35382,0.44838,0.3624,0.39901,0.36313,0.40118,0.39531,0.36464,0.29972,0.36338,0.43636,0.41142,0.49046,0.41579,0.38696,0.31489,0.3189,0.23492,0.21835,0.36481,0.11726,0.29494,0.19121,0.27554,0.26128,0.40673,0.41849,0.35678,0.42821,0.10064,0.15554,0.24928,0.45999,0.23549
2,EHRI-ET-JMP001_EN.xml,0.42929,0.48895,1.0,0.4325,0.37044,0.31736,0.40321,0.45592,0.35032,0.43992,0.41949,0.4254,0.3793,0.42058,0.45855,0.27648,0.39449,0.35477,0.42157,0.44211,0.3156,0.36467,0.48855,0.38454,0.40895,0.30839,0.39778,0.42397,0.35534,0.3219,0.4024,0.44137,0.36291,0.47787,0.3969,0.41602,0.29687,0.3603,0.32328,0.24763,0.41761,0.19246,0.3405,0.1792,0.26634,0.27813,0.41839,0.39684,0.38867,0.4761,0.13925,0.15028,0.29063,0.4362,0.34089
3,EHRI-ET-JMP013_EN.xml,0.56263,0.35474,0.4325,1.0,0.257,0.49072,0.44236,0.4376,0.37907,0.36003,0.27538,0.60805,0.53583,0.39931,0.29051,0.27453,0.32349,0.48962,0.57294,0.34096,0.39058,0.48272,0.57893,0.54281,0.50863,0.44034,0.42163,0.46686,0.4369,0.33847,0.41391,0.50181,0.41901,0.46722,0.52625,0.46712,0.18441,0.50473,0.50145,0.39562,0.34022,0.29637,0.47349,0.18785,0.34131,0.43395,0.436,0.45019,0.35808,0.55236,0.23576,0.15782,0.33288,0.59991,0.34939
4,EHRI-ET-JMP017_EN.xml,0.28527,0.36901,0.37044,0.257,1.0,0.27685,0.30105,0.40473,0.2963,0.37968,0.31354,0.34165,0.33414,0.38001,0.47884,0.21805,0.29862,0.26392,0.33086,0.40974,0.3473,0.31833,0.39638,0.36329,0.41616,0.33415,0.31764,0.35603,0.36176,0.27695,0.33414,0.42187,0.34323,0.4541,0.39262,0.3274,0.29033,0.28014,0.22705,0.17121,0.34203,0.16982,0.28,0.11729,0.20073,0.23301,0.36306,0.33556,0.33867,0.36039,0.11276,0.16978,0.23575,0.33481,0.22436
5,EHRI-ET-JMP009_EN.xml,0.44256,0.29359,0.31736,0.49072,0.27685,1.0,0.34631,0.3853,0.35201,0.36495,0.24964,0.4302,0.38158,0.27256,0.39976,0.1962,0.25086,0.27511,0.4445,0.3622,0.31667,0.37029,0.46967,0.50065,0.47934,0.3565,0.3515,0.345,0.38216,0.33842,0.32391,0.42499,0.46685,0.41899,0.39614,0.26669,0.15762,0.42294,0.51438,0.29564,0.34267,0.26381,0.39433,0.15739,0.24575,0.44056,0.42907,0.3672,0.2743,0.4181,0.15501,0.10054,0.20428,0.42621,0.279
6,EHRI-ET-JMP005_EN.xml,0.41917,0.41677,0.40321,0.44236,0.30105,0.34631,1.0,0.45949,0.37272,0.43853,0.31686,0.52888,0.47055,0.43942,0.34856,0.2864,0.35167,0.33354,0.43793,0.42048,0.28573,0.30842,0.44911,0.32146,0.39832,0.30605,0.3529,0.37492,0.35957,0.31933,0.31484,0.41972,0.39572,0.43245,0.38103,0.37747,0.22025,0.39552,0.32488,0.34765,0.28817,0.25763,0.41054,0.11329,0.37028,0.34493,0.38739,0.34167,0.30821,0.45686,0.15311,0.16731,0.37197,0.40793,0.23729
7,EHRI-ET-JMP019_EN.xml,0.35429,0.46408,0.45592,0.4376,0.40473,0.3853,0.45949,1.0,0.45619,0.51745,0.4463,0.52654,0.43495,0.48598,0.47519,0.25578,0.51212,0.51646,0.52501,0.47032,0.3081,0.39463,0.47087,0.45862,0.52449,0.41395,0.4859,0.41021,0.39257,0.36866,0.34107,0.49722,0.43008,0.49467,0.41045,0.38556,0.23974,0.34168,0.3716,0.23864,0.29461,0.26631,0.33246,0.2147,0.33479,0.37707,0.43268,0.38245,0.33177,0.40449,0.16322,0.12704,0.27715,0.4966,0.21736
8,EHRI-ET-JMP007_EN.xml,0.30904,0.34635,0.35032,0.37907,0.2963,0.35201,0.37272,0.45619,1.0,0.52006,0.37101,0.37771,0.40439,0.28669,0.36988,0.16448,0.29409,0.29528,0.37731,0.33991,0.29992,0.30944,0.42588,0.37315,0.42856,0.35015,0.36369,0.37684,0.3454,0.35529,0.34571,0.44008,0.38757,0.43668,0.39248,0.25948,0.23102,0.30713,0.2938,0.19366,0.28506,0.20134,0.27925,0.1242,0.24923,0.29816,0.33182,0.30517,0.31013,0.40793,0.12695,0.11619,0.20091,0.33678,0.28787
9,EHRI-ET-JMP015_EN.xml,0.33039,0.44852,0.43992,0.36003,0.37968,0.36495,0.43853,0.51745,0.52006,1.0,0.48959,0.39814,0.37895,0.36188,0.46778,0.19208,0.35604,0.32263,0.41756,0.43874,0.29165,0.30272,0.45847,0.38228,0.46394,0.34259,0.42366,0.41113,0.35775,0.42961,0.30278,0.42671,0.40583,0.46329,0.39652,0.31233,0.28068,0.31629,0.28568,0.19536,0.32688,0.19565,0.2926,0.13904,0.26671,0.26323,0.40123,0.32108,0.31179,0.3997,0.1113,0.16906,0.22103,0.38292,0.24829
