ehri_pers-27068785,Walter Braemer,07-01-1883 / 13-06-1955,1883-01-07,1955-06-13
ehri_pers-27068784,Grünvald Fülöp,1887-1964,,
ehri_pers-27068783,"Miliband, Ralph",,1924-01-07,1994-05-21
ehri_pers-003088,Samu Csobádi ,1879–19?,,
ehri_pers-003087,Károly Wilhelm,1886–1951,,
ehri_pers-003086,Ferenc Keresztes-Fischer,1881–1948,,
ehri_pers-003085,Jelínek Yeshayahu Andrej,,,
ehri_pers-003084,Anton Pelić,,,
ehri_pers-003083,Јаков Ароести,,,
ehri_pers-003082,Исак Сион,,,
ehri_pers-003081,Hugó Csergő,1877–1944/45,,
ehri_pers-003080,Aage Bertelsen,,,
ehri_pers-003079,Frode A. Toft,,,
ehri_pers-003078,Lyuchev Lyubimir ,,,
ehri_pers-003077,Dimov Virgil ,,,
ehri_pers-003076,Gabe Peter ,,,
ehri_pers-003075,"Mikhov, Nikola ",,,
ehri_pers-003074,Angelo Dell'Acqua,,1903,1972
ehri_pers-003073,"Bagryanov, Ivan",,,
ehri_pers-003072,António de Oliveira Salazar,,1889,1970
ehri_pers-003071,"Elkan, Theodor",,,
ehri_pers-003070,"Weil, Harry",,,
ehri_pers-003069,"Bruha, Antonia",,,
ehri_pers-003068,"Micara, Clemente",,1979,1965
ehri_pers-003067,Pope Paul 6,,1897,1978
ehri_pers-003066,Filippo Bernardini,,1884,1954
ehri_pers-003065,Paschal Charles Robinson,,1870,1948
ehri_pers-003064,Hermann Wilhelm Berning,,1877,1955
ehri_pers-003063,Pietro Tacchi Venturi,,1961,1956
ehri_pers-003062,Domenico Tardini,,1888,1961
ehri_pers-003061,Andrea Cassulo,,1869,1952
ehri_pers-003060,Myron C. Taylor,,1874,1959
ehri_pers-003059,Paolo Sereni,,1927,1993
ehri_pers-003058,Giorgio Voghera,,,
ehri_pers-003057,Bianca Nunes Vais Arbib,,1883,1970
ehri_pers-003056,Lattes Luzzatto,,1875,2000
ehri_pers-003055,Francesco Borgongini Duca,,1884,1954
ehri_pers-003054,Pope John 23,,1881,1963
ehri_pers-003053,Valerio Valeri,,1883,1963
ehri_pers-003052,"Breitinger, Hilarius",,1907,1994
ehri_pers-003051,Filippo Cortesi,,1976,1947
ehri_pers-003050,Cesare Orsenigo,,1873,1946
ehri_pers-003049,Konrad von Preysing,,1880,1950
ehri_pers-003048,Luigi Maglione,,1877,1944
ehri_pers-003047,Pius 11 Pope,,1857,1939
ehri_pers-003046,Giorgio Rossi,1909 maggio 24 - 1967 giugno 17,1909,1967
ehri_pers-003045,Zvi Mersik,,,
ehri_pers-002067,Metfes,,,
ehri_pers-001028,Leo Haas,,1901,1983
ehri_pers-000944,Anton Berka,,,
ehri_pers-002075,Jaques Mister,,,
ehri_pers-001144,Ernst vom Rath,,,
ehri_pers-002220,Bruno Salus,,,
ehri_pers-001459,Andree Salomon,,1908-08-25,1985-07-23
ehri_pers-002097,Frederick Moore,,,
ehri_pers-000824,Horst Schumann,,,
ehri_pers-002245,Dr. Raphael Plaut,,,
ehri_pers-002452,Gustaf Adolf Scheel,,,
ehri_pers-001020,Gross,,,
ehri_pers-002160,Osis,,,
ehri_pers-002200,Eleanor Roosevelt,,,
ehri_pers-001413,Felix Ruehl,,1910-08-12,
ehri_pers-001502,Josef Falath,,,
ehri_pers-002427,Erich Wenzel,,,
ehri_pers-002249,Dr. Joseph Walk,,,
ehri_pers-000870,Italo Balbo,,,
ehri_pers-001207,Levin Meyer,,,
ehri_pers-001069,Waldemar Klingelhoefer,,1900-04-04,
ehri_pers-001257,Gerhard Utikal,,,
ehri_pers-001967,Robert Langlois,,,
ehri_pers-001111,Srecko Bujas,,,
ehri_pers-002214,Josef Plakolm,,,
ehri_pers-001548,Monique Martin,,,
ehri_pers-001892,Lengsfeld Boineburg,,,
ehri_pers-002266,Max Hirschfeld,,,
ehri_pers-001989,Erno Szilagy,,,
ehri_pers-001943,Leopold Kunschak,,,
ehri_pers-000959,Willi Schatz,,,
ehri_pers-000787,Alfred Jodl,,,
ehri_pers-002423,Alois Viellieber,,,
ehri_pers-001653,Heskia Levy,,,
ehri_pers-000988,Hans Stark,,,
ehri_pers-001639,Wize,,,
ehri_pers-002163,Jurko Wozdulic,,,
ehri_pers-000992,Paul Vogt,,,
ehri_pers-001806,Lorenz Bauer,,,
ehri_pers-001181,Anton Benesch,,,
ehri_pers-002232,Eugen Heil,,,
ehri_pers-002408,Gerhard Schmock,,,
ehri_pers-000785,Stella Kuebler,,1922-07-10,
ehri_pers-000857,Hanna Steiner,,1894,1944-11
ehri_pers-002047,Ion Gheorghe Maurer,,,
ehri_pers-000861,Heinz-Hermann Schubert,,1914-08-27,
ehri_pers-001146,Wasyl Stroncicki,,,
ehri_pers-002373,Pranas Lukys,,,
ehri_pers-001631,Klimas Skilinskas,,,
ehri_pers-001749,Maurice Marcus,,,
ehri_pers-001412,Hans Hermann Remmers,,1906-07-13,
ehri_pers-001980,Wolfgang Liebeneiner,,,
ehri_pers-001651,Haim Farhi,,,
ehri_pers-001894,Josef Boss,,,
ehri_pers-002219,Beniez Liebermann,,,
ehri_pers-001642,Gaston Levy,,,
ehri_pers-002014,Maglione,,,
ehri_pers-001115,David Remez,,1886-05-23,1951-05-19
ehri_pers-001358,Herbert Backe,,1896-05-01,1947-04-07
ehri_pers-002492,Rudolf Freiherr von Hirsch,,1875-11-07,1975-05-25
ehri_pers-001051,Erno Marton,,1896,1960
ehri_pers-001145,Nadejda Vasileva,,,
ehri_pers-002364,Hans Krueger,,,
ehri_pers-000994,Julian Mack,,,
ehri_pers-002029,Eggert,,,
ehri_pers-001280,Hans Speidel,,,
ehri_pers-001372,Ignacy Schiper,,1884-11-09,1943-11
ehri_pers-001236,Nathan Strauss,,,
ehri_pers-001927,Walter Bruening,,,
ehri_pers-002171,Amon Pasztoy,,,
ehri_pers-001555,Gangler,,,
ehri_pers-001256,Kurt Lindow,,1903-02-16,
ehri_pers-001351,Malka Zimetbaum,,1922,1944
ehri_pers-000715,Moshe Sharett (Shertok),,1894,1965
ehri_pers-001899,Rudolf Breitscheid,,,
ehri_pers-001427,Marc Bloch,,1886,1944
ehri_pers-001320,Artur Wilke,,1910-02-01,
ehri_pers-001482,Otto Thierack,,1889-04-19,1946-10-26
ehri_pers-000909,Jaques Van Harten,,1901,
ehri_pers-000915,Ismar Elbogen,,1874,1943
ehri_pers-000951,Louis D. Brandeis,,,
ehri_pers-001420,Alfred Philippson,,1864-01-01,1953-03-28
ehri_pers-001066,Shemuel David Unger,,,1945-03
ehri_pers-001840,Leon Beiko,,,
ehri_pers-002100,Vialon Friedrich,,,
ehri_pers-000791,Hans Friedenthal,,1900,1989
ehri_pers-001270,Meyer,,,
ehri_pers-001510,Arthur Seyss-Inquart,,,
ehri_pers-002000,Otto Dessloch,,,
ehri_pers-002428,A. Richert,,,
ehri_pers-001476,Myriam Pinkhof Waterman,,1916-12-05,
ehri_pers-002480,Max Moses Friediger,,1884-04-09,1947
ehri_pers-001528,Oskar Kisicky,,,
ehri_pers-001594,Markow,,,
ehri_pers-001917,Ludwig Schneider,,,
ehri_pers-001837,Alexandre Feigenbaum,,,
ehri_pers-000840,Hans Georg von Mackensen,,,
ehri_pers-002238,August Poller,,,
ehri_pers-002313,Franz Kreil,,,
ehri_pers-001170,Leo Glaser,,,
ehri_pers-000856,Siegfried Moses,,1887,1974
ehri_pers-001096,Walter Heinrich von Brauchitsch,,,
ehri_pers-001040,Menahem Begin,,1913-08-30,1992-03-09
ehri_pers-001489,Leopold Buerkner,,,
ehri_pers-002042,Pawel Martynski,,,
ehri_pers-002303,Heinrich Baab,,1908-07-27,
ehri_pers-001883,Rabbi Jacob Hacohen Katzenstein,,,
ehri_pers-002140,Ebbe Munck,,,
ehri_pers-001727,Otto Hermann Fegelein,,1906-08-30,1945-04-29
ehri_pers-002516,Art(h)ur Stein,,1871-06-10,1950-01-01
ehri_pers-001680,Yosef Brenner,,,
ehri_pers-001120,Bernstein,,,
ehri_pers-001757,Otto Komlos,,,
ehri_pers-000703,Walter Dobberke,,,
ehri_pers-002032,Hans Eisenschimmel,,,
ehri_pers-001699,Otto Ambros,,,
ehri_pers-002162,Roman Worobkiewicz,,,
ehri_pers-000713,Amin El Husseini,,1895-01-01,1974-12-31
ehri_pers-001764,Hartmann,,,
ehri_pers-001263,Otto Moll,,,
ehri_pers-002380,Wolfgang Mohwinkel,,1911-12-25,
ehri_pers-002244,Dr. Paul Lazarus,,,
ehri_pers-001604,Abraham Neumann,,,
ehri_pers-000868,Werner von Blomberg,,,
ehri_pers-002143,Johann Goebel,,,
ehri_pers-000716,Walther Stock,,1904-07-26,
ehri_pers-001462,Samy Lattes,,,
ehri_pers-001440,Vasil Kolarov,,1877-07-16,1950
ehri_pers-001306,Albert Heinrich Friedrich,,,
ehri_pers-002421,Heinz Truehe,,1908-12-04,
ehri_pers-002098,Franz Josef Swidersky,,,
ehri_pers-001013,Ferdinand,,,
ehri_pers-001532,M. Alfred Cohen,,,
ehri_pers-001128,Josef Jonke,,,
ehri_pers-001738,Moshe Zigelbaum,,,
ehri_pers-000978,Otto Warburg,,,
ehri_pers-000920,Jacob Rosenheim,,1870-11-05,1965-11-03
ehri_pers-001344,Oswald Mosley,,1896,1980
ehri_pers-001286,Friedrich Horst Schlegel,,,
ehri_pers-002368,Karl Marder,,,
ehri_pers-001268,Eugen Ott,,,
ehri_pers-001573,Henry Ford,,,
ehri_pers-001907,Karl Kolb,,,
ehri_pers-001990,Mychan Szlapak,,,
ehri_pers-001945,Slavko Kvaternik,,,
ehri_pers-002290,Guenther Hoppe,,,
ehri_pers-001847,Oskar Ernst Binder,,,
ehri_pers-002190,J. L. Pech,,,
ehri_pers-002016,Frida Majerowitz,,,
ehri_pers-001616,Fritz Waechter,,,
ehri_pers-001142,Walter Toebbens,,,
ehri_pers-002476,Alexander Cohn,,1876-09-04,1951
ehri_pers-001658,Leon Edinger,,,
ehri_pers-001874,Maria Schallenberg,,,
ehri_pers-001544,Leon Braunschweig,,,
ehri_pers-000737,Arthur Lilienthal,,1899,1943
ehri_pers-001823,Boris Rojsen,,,
ehri_pers-001560,Jacob Landau,,,
ehri_pers-002339,Kurt Kaul,,,
ehri_pers-001547,Franciszka Mann,,,
ehri_pers-001340,Arie Jurek Wilner,,1917,1943-05-08
ehri_pers-000781,Felix Kersten,,,
ehri_pers-002195,אברהם אלטבב,,,
ehri_pers-002343,Richard Hartmann,,,
ehri_pers-001670,Norbert Yasharoff,,,
ehri_pers-001914,Franz Schlager,,,
ehri_pers-001234,Georges Blumberg,,,
ehri_pers-001906,Wilhelm Kokskemper,,,
ehri_pers-000907,Albrecht Joachim Kuke,,1908-03-24,
ehri_pers-001882,Dr. Wilhelm Freihen,,,
ehri_pers-001975,Lej,,,
ehri_pers-002394,Ulrich Greifelt,,,
